Song-Name,Artists,Genre,Album
Badnaamiyan,Armaan Malik,BollywoodRomantic,Hate Story 4
Malhari,Vishal Dadlani,BollywoodDance,Bajirao Mastani
Piya More,"Mika Singh, Neeti Mohan",Bollywood,Baadshaho
High Heels Te Nachche,"Aditi Singh Sharma, Jaz Dhami, Meet Bros",BollywoodDance,Ki & Ka
Shake Karaan,"Kanika Kapoor, Meet Bros",BollywoodDance,Munna Michael
Thodi Der,"Farhan Saeed, Shreya Ghoshal",BollywoodSad,Half Girlfriend
Har Dil Jo Pyar Karega,"Alka Yagnik, Udit Narayan",BollywoodDance,Har Dil Jo Pyar Karega
Raabta,Nikhita Gandhi,BollywoodRomantic,Raabta
Nach Meri Jaan,"Dev Negi, Kamaal khan, Nakash Aziz, Tushar Joshi",BollywoodDance,Tubelight
Janam Janam,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale
Andha Dhun,Raftaar,BollywoodDance,Andha Dhun
Holi Biraj Ma,Jubin Nautiyal,BollywoodDance,Genius
Kal Ho Naa Ho Title Track,Sonu Nigam,BollywoodSad,Kal Ho Naa Ho
Enna Sona,"A.R. Rahman, Arijit Singh",BollywoodRomantic,Ok Jaanu
Little Little,Harrdy Sandhu,BollywoodDance,Yamla Pagla Deewana Phir Se
Maa Sherawaliye,Sonu Nigam,Bollywood,Khiladiyon Ka Khiladi
Disco Disco,"Benny Dayal, Shirley Setia",BollywoodDance,A Gentleman
Lambiyaan Si Judaiyaan,"Altamash Faridi, Arijit Singh, Shadaab Faridi",BollywoodSad,Raabta
Aahista,"Arijit Singh, Jonita Gandhi",BollywoodRomantic,Laila Majnu
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit
Kisi Se Tum Pyaar Karo,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Andaaz
Naam Hai Bhaiaji,"Amit Mishra, Raftaar",Bollywood,Bhaiaji Superhit
Baba Bolta Hain Bas Ho Gaya,"Papon, Ranbir Kapoor, Supriya Pathak",Bollywood,Sanju
Sultan Title Song,"Shadaab Faridi, Sukhwinder Singh",BollywoodMotivational,Sultan
Radio,"Amit Mishra, Kamaal khan",BollywoodDance,Tubelight
Sab Badhiya Hai,Sukhwinder Singh,BollywoodDance,Sui Dhaaga
Chin Chin Chu,"Jassi Gill, Sonakshi Sinha",BollywoodDance,Happy Phirr Bhaag Jayegi
Beat Pe Booty,"Jigar Saraiya, Kanika Kapoor, Sachin Sanghvi, Vayu",BollywoodDance,A Flying Jatt
Jag Ghoomeya,Rahat Fateh Ali Khan,BollywoodRomantic,Sultan
Jogi,"Aakanksha Sharma, Yasser Desai",BollywoodRomantic,Shaadi Mein Zaroor Aana
Lets Nacho,"Badshah, Benny Dayal",BollywoodDance,Kapoor & Sons
Tu Tu Hai Wahi,"Asha Bhosle, Kishore Kumar",BollywoodRomantic,Yeh Vaada Raha
Yeh Vaada Raha,"Asha Bhosle, Kishore Kumar",BollywoodDance,Yeh Vaada Raha
Vande Mataram,"Badshah, Daler Mehndi, Divya Kumar, Tanishka Sanghvi",BollywoodDance,ABCD 2
Jeene Laga Hoon,Atif Aslam,BollywoodRomantic,Ramaiya Vastavaiya
Nit Khair Manga,Rahat Fateh Ali Khan,BollywoodRomantic,Raid
Jitni Dafa,"Jeet Gannguli, Yasser Desai",BollywoodRomantic,Parmanu The Story of Pokhran
Wajah Tum Ho,Armaan Malik,BollywoodRomanticSensual,Hate Story 3
Rozana,Shreya Ghoshal,BollywoodRomantic,Naam Shabana
Tu Meri Main Tera,"Altamash Faridi, Rahat Fateh Ali Khan, Shadab Faridi",BollywoodRomanticSad,Namaste England
Gallan Goodiyaan,"Farhan Akhtar, Manish Kumar Tipu, Shankar Mahadevan, Sukhwinder Singh, Yashita Sharma",BollywoodDance,Dil Dhadakne Do
Swag Se Swagat (Arabic),"Brigitte Yaghi, Neha Bhasin, Rabih Baroud, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys
Kudiya Shehar Diyan,"Daler Mehndi, Neha Kakkar",BollywoodDance,Poster Boys
Aap Se Milkar,"Aakanksha Sharma, Ayushmann Khurrana",BollywoodRomantic,Andha Dhun
Socha Hai,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Baadshaho
Sawan Aaya Hai (Unplugged Version),"Neha Kakkar, Tony Kakkar",BollywoodSad,Creature 3D
Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi
Main Woh Chaand,Darshan Raval,BollywoodRomanticSad,Teraa Surroor
Ankhiyon Se Goli Mare,"Jaspinder Narula, Sonu Nigam",BollywoodDance,Dulhe Raja
Jab Tak,"Amaal Mallik, Armaan Malik",BollywoodRomantic,M.S. Dhoni
Luv Letter,"Kanika Kapoor, Meet Bros",BollywoodDance,The Legend of Michael Mishra
Ullu ka Pattha,"Arijit Singh, Nikhita Gandhi",Bollywood,Jagga Jasoos
Yaad Hai Na,Arijit Singh,BollywoodRomantic,Raaz Reboot
Balma,"Rekha Bhardwaj, Sunidhi Chauhan",BollywoodDance,Pataakha
Kisi Se Pyar Ho Jaye,Jubin Nautiyal,BollywoodDanceRomantic,Kaabil
Sau Aasmaan,"Armaan Malik, Neeti Mohan",BollywoodDance,Baar Baar Dekho
Beparwah,"Nandini Deb, Siddharth Basrur",BollywoodDance,Munna Michael
Yaad Hai,"Ankit Tiwari, Palak Muchhal",BollywoodSad,Aiyaary
Dhayaan Chand,"Amit Trivedi, Nikhita Gandhi, Suhas Sawant, Vijay Yamla",BollywoodDance,Manmarziyaan
Aaj Zid,Arijit Singh,BollywoodSensual,Aksar 2
Hum Pyaar Hai Tumhare,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Haan Maine Bhi Pyaar Kiya
Main Hoon,Siddharth Mahadevan,BollywoodDance,Munna Michael
Swag Saha Nahi Jaye,"Neha Bhasin, Shadab Faridi, Sohail Sen",BollywoodDance,Happy Phirr Bhaag Jayegi
Chote Bade,"Ankit Tiwari, Mika Singh",BollywoodDance,Fry Day
Main Hoon Saath Tere,Arijit Singh,BollywoodRomantic,Shaadi Mein Zaroor Aana
Kabira,"Rekha Bhardwaj, Tochi Raina",BollywoodSad,Yeh Jawaani Hai Deewani
Main Kaun Hoon,Meghna Mishra,BollywoodSad,Secret Superstar
Aashiq Surrender Hua,"Amaal Mallik, Shreya Ghoshal",BollywoodDance,Badrinath Ki Dulhania
Nachan Farrate,"Kanika Kapoor, Meet Bros",BollywoodDance,All is Well
Pyar De Pyar Le,"Dev Negi, Ikka, Iulia Vantur",BollywoodDance,Genius
Do Peg Maar,Neha Kakkar,BollywoodDance,One Night Stand
Tera Noor,Jyoti Nooran,Bollywood,Tiger Zinda Hai
Jaanu,"Juggy D, Raftaar, Shivi",BollywoodDance,Behen Hogi Teri
Hamdard,Arijit Singh,BollywoodRomantic,Ek Villain
Hawa Hawai 2.0,"Kavita Krishnamurthy, Shashaa Tirupati",BollywoodDance,Tumhari Sulu
Dhoom Dhadakka,"Antara Mitra, Shahid Mallya",BollywoodDance,Namaste England
Lovely,"Fateh, Kanika Kapoor, Miraya Varma, Ravindra Upadhyay",BollywoodDance,Happy New Year
Mohabbat Nasha Hai,"Neha Kakkar, Tony Kakkar",BollywoodSad,Hate Story 4
Chal Wahan Jaate Hain,Arijit Singh,BollywoodRomantic,Heropanti
Ishq De Fanniyar,Jyotica Tangri,BollywoodRomantic,Fukrey Returns
Palat Tera Hero Idhar Hai,Arijit Singh,BollywoodDanceRomantic,Main Tera Hero
Tab Bhi Tu,Rahat Fateh Ali Khan,BollywoodSad,October
Yeh Ladka Hai Allah,"Alka Yadnik, Udit Narayan",BollywoodDance,Kabhi Khushi Kabhie Gham
Tujhe Yaad Na Meri Aayee,"Alka Yagnik, Manpreet Akhtar, Udit Narayan",BollywoodSad,Kuch Kuch Hota Hai
Jalte Diye,"Anwesshaa, Harshdeep Kaur, Shabab Sabri, Vineet Singh",BollywoodRomantic,Prem Ratan Dhan Payo
Zindagi Bana Loon,Palak Muchhal,BollywoodRomantic,Sweetiee Weds NRI
Humnava,Papon,BollywoodSad,Hamari Adhuri Kahani
Galliyan,Ankit Tiwari,BollywoodRomantic,Ek Villain
Tere Chehre Mein Woh Jaadu Hai,Kishore Kumar,BollywoodRomantic,Dharmatma
Golmaal Again Title Track,"Aditi Singh Sharma, Brijesh Shandilya",BollywoodDance,Golmaal Again
Suno Ganpati Bappa Morya,Amit Mishra,BollywoodDance,Judwaa 2
Dil Dene Ki Ruth,"Alka Yagnik, Vinod Rathod",BollywoodDance,Prem Granth
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",BollywoodRomantic,Airlift
Tu Meri,Vishal Dadlani,BollywoodDanceRomantic,Bang bang
Baby Ko Bass Pasand Hai,"Badshah, Ishita, Shalmali Kholgade, Vishal Dadlani",BollywoodDance,Sultan
Daddy Mummy,"Devi Sri Prasad, M. M. Manasi",BollywoodDance,Bhaag Johnny
Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal",BollywoodRomantic,Rustom
Khatar Patar,Papon,BollywoodDance,Sui Dhaaga
Tu Mera Bhai Nahi Hai,"Gandhharv Sachdeav, Raftaar",Bollywood,Fukrey Returns
Party With The Bhoothnath,Yo Yo Honey Singh,BollywoodDance,Bhoothnath Returns
Hasi,Ami Mishra,BollywoodRomanticSad,Hamari Adhuri Kahani
Good Man Di Laaltein,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodDance,Soorma
Kaabil Hoon,"Jubin Nautiyal, Palak Muchhal",BollywoodRomantic,Kaabil
Manali Trance,"Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,The Shaukeens
Main Teri Dushman Dushman Tu,Lata Mangeshkar,BollywoodDance,Nagina
Hafiz Hafiz,Mohit Chauhan,BollywoodRomantic,Laila Majnu
Tere Jaisa Yaar Kahan,Kishore Kumar,Bollywood,Yaarana
Daryaa,"Ammy Virk, Shahid Mallya",BollywoodSad,Manmarziyaan
Chota Sa Fasana,Arijit Singh,Bollywood,Karwaan
Main Adhoora,"Aakanksha Sharma, Yasser Desai",BollywoodSad,Beiimaan Love
Aao Raja,"Neha Kakkar, Yo Yo Honey Singh",BollywoodDance,Gabbar Is Back
Haseeno Ka Deewana,"Payal Dev, Raftaar",BollywoodDance,Kaabil
Swag,"Brijesh Shandaliya, Pranaay",BollywoodDance,Munna Michael
Ki Kariye Nachna Aaonda Nahin,"Hardy Sandhu, Neha Kakkar, Raftaar",BollywoodDance,Tum Bin 2
Neele Neele Ambar par,Kishore Kumar,BollywoodDance,Kalaakaar
Choli Ke Peeche Kya Hai (Female),"Alka Yagnik, Vinod Rathod",BollywoodDance,Khal Nayak
Kitna Haseen Chehra,Kumar Sanu,BollywoodRomantic,Dilwale
Girl I Need You,"Arijit Singh, Roach Killa",BollywoodRomantic,Baaghi
Sanam Teri Kasam,Ankit Tiwari,BollywoodRomantic,Sanam Teri Kasam
Kisi Din Banoongi Main,"Alka Yagnik, Udit Narayan",BollywoodDance,Raja
Laaj Sharam,"Divya Kumar, Enbee, Jasleen Royal",Bollywood,Veere Di Wedding
Badan Pe Sitaare,Sonu Nigam,BollywoodDanceRomantic,Fanney Khan
Menu Kehn De,Himesh Reshammiya,BollywoodSad,Aap Se Mausiiquii
Bekhudi,"Aditi Singh Sharma, Darshan Raval",BollywoodRomantic,Teraa Surroor
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",BollywoodDance,Rockstar
Balam Pichkari,"Shalmali Kholgade, Vishal Dadlani",BollywoodDance,Yeh Jawaani Hai Deewani
Tinka Tinka Dil Mera,Rahat Fateh Ali Khan,BollywoodSad,Tubelight
Jaana Ve,Arijit Singh,BollywoodRomantic,Aksar 2
Shubh Din,"Keerthi Sagathia, Yotica Tangri",Bollywood,Parmanu The Story of Pokhran
The Disco Song,"Benny Dayal, Nazia Hassan, Sunidhi Chauhan",BollywoodDance,Student of the Year
Nagada Sang Dhol,"Osman Mir, Shreya Ghoshal",BollywoodDance,Goliyon Ki Rasleela Ram-leela
Tune Mari Entriyaan,"Bappi Lahiri, K.K., Neeti Mohan, Vishal Dadlani",BollywoodDance,Gunday
Ijazat,"Arijit Singh, Meet Bros",BollywoodRomanticSensual,One Night Stand
Tujhse Naaraz Nahi Zindagi,Anup Ghoshal,BollywoodSad,Masoom
Pyar Kabhi Kam Nahi Karna,"Asha Bhosle, Bappi Lahiri",BollywoodRomantic,Prem Pratigyaa
Chikni Chameli,Shreya Ghoshal,BollywoodDance,Agneepath
Zaroorat,Mustafa Zahid,BollywoodSad,Ek Villain
Bang Bang,"Benny Dayal, Neeti Mohan",BollywoodDance,Bang bang
Bulleya,Papon,BollywoodRomantic,Sultan
Barso Re,Shreya Ghoshal,BollywoodDance,Guru
Manwa Laage,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Happy New Year
The Google Song,"Amaal Mallik, Armaan Malik, Neeti Mohan, Sonu Nigam, Tulsi Kumar",BollywoodDance,Mubarakan
Ek Mulaqat,Jubin Nautiyal,BollywoodRomanticSad,Sonali Cable
Suraj Hua Maddham,"Alka Yagnik, Sonu Nigam",Bollywood,Kabhi Khushi Kabhie Gham
Aa Toh Sahii,"Meet Bros, Neha Kakkar",BollywoodDance,Judwaa 2
Nazm Nazm,Arko,BollywoodRomantic,Bareilly Ki Barfi
Teri Ore,"Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodRomantic,Singh Is Kinng
Toota Jo Kabhi Tara,"Atif Aslam, Sumedha Karmahe",BollywoodSad,A Flying Jatt
Say “Shava Shava”,"Aadesh, Alka Yagnik, Amitabh Bachchan, Sudesh Bhosle, Sunidhi Chauhan",BollywoodDance,Kabhi Khushi Kabhie Gham
Sunn Raha Hai (Male),Ankit Tiwari,BollywoodSad,Aashqui 2
Tu Banja Gali Benaras Ki,Asit Tripathy,BollywoodRomantic,Shaadi Mein Zaroor Aana
Khuda Bhi,Mohit Chauhan,BollywoodRomantic,Ek Paheli Leela
Paani Wala Dance,"Arko, Ikka, Shraddha Pandit",BollywoodDance,Kuch Kuch Locha Hai
Dola Re Dola,"K.K., Kavita Krishnamurthy, Shreya Ghoshal",BollywoodDance,Devdas
Jab Tum Chaho,"Darshan Raval, Mohammed Irfan, Palak Muchhal",BollywoodDance,Prem Ratan Dhan Payo
Tere Bina Zindagi Se Koi Shikwa To Nahin,"Kishore Kumar, Lata Mangeshkar",BollywoodSad,Aandhi
Mujhe Ek Pal Chain,"Alka Yagnik, Hariharan, Jaswinder Narula",BollywoodDance,Judaai
Kuch Iss Tarah,Arnab Dutta,BollywoodSad,1921
Gazab Ka Hai Din,"Jubin Nautiyal, Prakriti Kakkar",BollywoodRomantic,Dil Juunglee
Tu Jaane Na,Atif Aslam,BollywoodRomantic,Ajab Prem Ki Ghazab Kahani
Tumne Agar Pyar Se – Female,Alka Yagnik,BollywoodDance,Raja
Stay A Little Longer,Anushka Shahaney,BollywoodSad,Half Girlfriend
Badtameez Dil,Benny Dayal,BollywoodDance,Yeh Jawaani Hai Deewani
Chand Sifarish,"Kailash Kher, Shaan",BollywoodRomantic,Fanaa
Is Pyar Se Meri Taraf Na Dekho,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Chamatkar
Aaj Unse Milna Hai,Shaan,BollywoodDanceRomantic,Prem Ratan Dhan Payo
Tere Bin Nahi Laage,Uzair Jaswal,BollywoodRomanticSad,Ek Paheli Leela
Yaar Na Miley,"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick
Main Rang Sharbaton Ka,Atif Aslam,BollywoodRomantic,Phata Poster Nikhla Hero
Raazi Title Track,Arijit Singh,BollywoodMotivational,Raazi
Hum Tumhe Chahte Hai Aise,"Anand Kumar C, Kanchan, Manhar Udhas",BollywoodRomantic,Qurbani
Ittefaq Se Raat Baaki,"Jubin Nautiyal, Nikhita Gandhi",BollywoodDance,Ittefaq
Oye Oye,"Aditi Singh Sharma, Armaan Malik",BollywoodDance,Azhar
Sooraj Dooba Hai,"Adit Singh Sharma, Arijit Singh",BollywoodDance,Roy
Will You Marry me,"Divya Kumar, Jonita Gandhi",BollywoodDance,Bhoomi
Tera Hoke Rahoon,Arijit Singh,BollywoodRomantic,Behen Hogi Teri
Aa Re Pritam Pyaare,"Mamta Sharma, Sarosh Sami",BollywoodDance,Rowdy Rathore
Mehboob Mere Mehboob Mere,"Lata Mangeshkar, Mukesh",BollywoodRomantic,Pathar Ke Sanam
Dil Mein Chhupa Loonga,"Armaan Malik, Meet Bros, Tulsi Kumar",BollywoodRomanticSensual,Wajah Tum Ho
Dance Basanti,"Anushka Manchanda, Vishal Dadlani",BollywoodDance,Ungli
Teri Meri Prem Kahani,"Rahat Fateh Ali Khan, Shreya Ghoshal",BollywoodSad,Bodyguard
Lungi Dance,Yo Yo Honey Singh,BollywoodDance,Chennai Express
Jeena Jeena,Atif Aslam,BollywoodRomanticSad,Badlapur
Thare Vaaste,Divya Kumar,BollywoodPatriotic,Parmanu The Story of Pokhran
Maine Socha Ke Chura Loon,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Phir Se
Mar Gaye,"Manj Musik, Nindy Kaur",BollywoodDance,Beiimaan Love
Cutiepie,"Nakash Aziz, Pardeep Singh Sran",BollywoodDance,Ae Dil Hai Mushkil
Lipstick Laga Ke,"Payal Dev, Shaan",BollywoodDance,Great Grand Masti
Laila,"Anand Raaj Anand, Mika Singh, Sunidhi Chauhan",BollywoodDance,Shootout at Wadala
Tu Mera Hero,"Mika, Shefali Alvaris",BollywoodDance,Desi Boyz
A Flying Jatt,"Mansheel Gujral, Raftaar, Tanishkaa",BollywoodDance,A Flying Jatt
World Dance Medley,"K.K., Neeti Mohan, Shankar Mahadevan, Sukhwinder Singh, Vishal Dadlani",BollywoodDanceRomantic,Happy New Year
Qayamat,"Alka Yagnik, Sukhwinder Singh",BollywoodDance,Deewane
Matargashti,Mohit Chauhan,BollywoodDance,Tamasha
Pehla Nasha Once Again,"Jubin Nautiyal, Palak Muchhal",BollywoodRomantic,Yoodlee film – Kuchh Bheege Alfaaz
Raj Karega Khalsa,"Daler Mehndi, Navraj Hans",BollywoodMotivational,A Flying Jatt
Punjabi Wedding Song,"Benny Dayal, Sunidhi Chauhan",BollywoodDance,Hasee Toh Phasee
Rabba Ishq Na Hove,"Alka Yagnik, Kailash Kher, Sapna Mukherjee, Sonu Nigam",BollywoodSad,Andaaz
Tumhi Ho Bandhu,"Kavita Seth, Neeraj Shridhar",BollywoodDance,Cocktail
Saans,"Mohit Chauhan, Shreya Ghoshal",BollywoodRomantic,Jab Tak Hai Jaan
Besharmi Ki Height,"Benny Dayal, Shalmali Kholgade",BollywoodDance,Main Tera Hero
Mere Rashke Qamar,Tulsi Kumar,BollywoodDanceSad,Baadshaho
Besabriyaan,Armaan Malik,Bollywood,M.S. Dhoni
Tu Hai Ki Nahin,Ankit Tiwari,BollywoodSad,Roy
Aaj Ki Party,Mika Singh,BollywoodDance,Bajrangi Bhaijaan
Kaahe Chhed,"Kavita Krishnamurthy, Madhuri Dixit, Pandit Birju Maharaj",BollywoodDance,Devdas
Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam",BollywoodDance,Har Dil Jo Pyar Karega
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",BollywoodDance,Karthik Calling Karthik
Pant Mein Gun,Diljit Dosanjh,BollywoodDance,Welcome To New York
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",BollywoodDance,Bachna Ae Haseeno
Ang Se Ang Lagana,"Alka Yagnik, Devki Pandit, Sudesh Bhosle, Vinod Rathod",BollywoodDance,Darr
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",BollywoodRomantic,Dilliwaali Zaalim Girlfriend
Seedha Saadha,Amit Mishra,BollywoodSad,Commando 2
Aaya Re,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,Chup Chup Ke
Koi Fariyaad,Jagjit Singh,BollywoodSad,Tum Bin
Rangreli,"Shreya Ghoshal, Wajid",BollywoodDance,Daawat e Ishq
Loot Jayenge,"Jayesh Gandhi, Kunal Ganjawala",BollywoodDance,Aksar
Pyar Kiya To Darna Kya,Lata Mangeshkar,BollywoodDance,Mughal-E-Azam
Hum To Bhai Jaise Hain,Lata Mangeshkar,BollywoodDance,Veer Zaara
Jatt Jaguar,"Apeksha Dandekar., Navraj Hans, Vishal Dadlani",BollywoodDance,Mubarakan
Yaad Aa Raha Ha,Bappi Lahiri,BollywoodDance,Disco Dancer
Glamorous Ankhiyaan,"Anjjan, Krishna Beura, Meet Bros",BollywoodDance,Ek Paheli Leela
Kitni Mohabbat Kis Ko,"Alka Yagnik, Kumar Sanu, Udit Narayan",BollywoodRomantic,Deewane
Tera Mera Rishta Purana,Mustafa Zahid,BollywoodSad,Awarapan
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",BollywoodSad,I Hate Luv Storys
Tere Dil Ka Rishta,Sonu Nigam,BollywoodRomantic,Koi Aap Sa
Om Mangalam,"Nindy Kaur, RDB",BollywoodDance,Kambakkht Ishq
Chhupana Bhi Nahin Aata,Vinod Rathod,BollywoodRomantic,Baazigar
Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil
Khwabon Khwabon,K.K. Suchitra,BollywoodDance,Force
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",BollywoodRomantic,Roja
Yeh Hawa Yeh Bata,Lata Mangeshkar,BollywoodDance,Ghazab
Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",BollywoodDance,Befikre
Musu Musu,Shaan,BollywoodRomantic,Pyaar Mein Kabhi Kabhi
Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",BollywoodDance,Mausam
Dhiktana – 2,"Lata Mangeshkar, S.P. Balasubrahmanyam, Udit Narayan",BollywoodDance,Hum Aapke Hain Koun
Pinky,"Mamta Sharma, Meet Bros Anjjan",BollywoodDance,Zanjeer
Mujhe Kitna Pyar Hai Tumse,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Dil Tera Deewana
The Disco Song (Remix),"Benny Dayal, Salim Merchant, Shahid Mallaya, Sunidhu Chauhan, Udit Narayan",BollywoodDance,Student of the Year
Yeh Ishq Hai Gunah,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodRomantic,Madhoshi
Kabhi Shaam Dhale,Lucky Ali,BollywoodDance,Sur
In Lamhon Ke Daaman Mein,Javed Ali,BollywoodRomantic,Jodha Akbar
Agar Main Kahoon,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Lakshay
Kaddu Katega,Antara Mitra,BollywoodDance,R... Rajkumar
